name	x	y	z
Fp1	85.18	37.33	67.91
AFp1	82.50	19.04	82.09
AFz	72.59	7.73	93.34
AF3	69.94	36.98	81.15
AF7	71.76	52.10	47.69
AFF5h	60.53	51.66	70.67
AFF1h	55.17	22.54	100.38
F1	34.17	33.19	105.75
F3	37.41	52.27	86.44
F5	48.63	61.84	64.03
F7	53.73	63.72	34.61
F9	48.70	69.27	0.44
FFT9h	36.63	72.19	12.56
FFT7h	35.31	71.78	43.29
FFC5h	27.72	63.41	76.35
FFC3h	20.15	48.84	99.59
FFC1h	19.74	25.26	115.98
FCz	2.43	7.43	125.42
FC1	3.21	39.92	112.88
FC3	5.95	62.21	89.04
FC5	15.67	75.07	58.95
FT7	23.37	78.02	30.88
FT9	28.87	72.49	-6.22
FTT9h	12.76	77.96	9.00
FTT7h	3.44	80.73	39.16
FCC5h	-5.08	74.07	69.99
FCC3h	-10.64	57.25	100.78
FCC1h	-15.63	28.60	120.05
C1	-34.99	38.84	113.83
C3	-24.82	67.43	84.63
C5	-13.91	79.39	52.73
T7	-4.64	81.64	22.70
TTP7h	-25.51	81.53	33.61
CCP5h	-36.65	73.12	63.22
CCP3h	-47.33	57.26	91.25
CCP1h	-54.88	25.02	109.41
CP1	-67.50	34.81	97.08
CP3	-58.15	61.47	70.63
CP5	-45.77	72.86	42.06
TP7	-35.77	79.91	13.69
TPP9h	-47.79	76.03	-5.56
TPP7h	-56.10	69.81	24.28
CPP5h	-64.66	63.62	48.07
CPP3h	-76.92	46.16	72.08
CPP1h	-83.11	17.64	84.66
P1	-87.97	29.43	71.47
P3	-79.69	49.67	51.33
P5	-68.98	62.43	28.64
P7	-64.00	66.59	7.29
PPO5h	-84.36	46.01	28.03
PPO1h	-95.49	18.58	52.72
POz	-97.24	0.20	37.92
PO3	-97.15	26.37	30.50
PO7	-82.61	45.11	3.68
PPO9h	-71.35	58.89	-9.08
POO9h	-83.75	43.79	-7.46
O1	-92.15	25.22	5.71
POO1	-97.06	9.22	20.39
OI1h	-93.21	3.06	-5.93
Iz	-86.65	-5.82	-21.82
Cz	-35.96	-2.83	121.33
C2	-34.46	-30.84	118.48
C4	-20.12	-60.31	96.62
C6	-8.29	-77.92	62.40
T8	4.10	-84.68	31.38
FTT10h	20.07	-81.86	16.83
FTT8h	12.55	-81.11	50.82
FCC6h	3.69	-70.37	81.96
FCC4h	-8.75	-49.34	109.37
FCC2h	-18.00	-17.84	124.97
FC2	1.27	-29.92	120.70
FC4	12.17	-59.66	96.61
FC6	22.06	-75.24	68.42
FT8	29.62	-81.27	37.74
FT10	37.55	-76.46	6.99
FFT10h	46.44	-74.39	23.00
FFT8h	41.19	-74.02	55.49
FFC6h	31.64	-62.06	85.63
FFC4h	25.69	-41.47	106.75
FFC2h	20.06	-9.95	121.82
Fz	33.81	2.97	115.43
F2	37.44	-23.83	111.05
F4	39.64	-47.63	96.10
F6	53.92	-62.15	70.75
F8	57.62	-69.29	46.29
F10	53.86	-76.15	13.18
AFF6h	63.80	-49.42	80.95
AFF2h	53.29	-14.42	106.45
AF4	72.99	-30.96	88.79
AF8	74.12	-52.57	63.14
FP2	85.14	-32.75	78.60
AFp2	81.44	-17.41	86.20
Oz	-95.90	-2.92	10.26
OI2h	-91.92	-19.79	-0.17
POO10h	-79.91	-48.69	-4.53
O2	-89.68	-30.93	7.25
POO2	-95.91	-12.10	22.32
PO4	-90.11	-33.23	34.25
PO8	-77.81	-50.27	9.74
PPO10h	-59.92	-70.33	-2.73
PPO6h	-78.89	-48.30	31.08
PPO2h	-92.00	-20.02	52.80
Pz	-90.22	1.50	70.73
