name	x	y	z
Fp1	104.97	32.13	55.86
AFp1	106.09	18.37	76.83
AFz	100.41	5.47	88.85
AF3	94.56	34.48	81.33
AF7	87.47	52.35	49.14
AFF5h	82.78	51.2	73.47
AFF1h	83.44	18.85	102.5
F1	64.26	29.66	110.84
F3	64.5	51.14	95.17
F5	67.85	62.78	68.85
F7	63.12	69.01	41.85
F9	53.47	74.22	9.71
FFT9h	45.88	78.68	25.21
FFT7h	49.27	76.14	59.15
FFC5h	51.63	63.84	87.8
FFC3h	49.09	45.09	111.46
FFC1h	47.87	17.76	123.42
FCz	32.61	-0.11	131.7
FC1	30.59	34.34	126.01
FC3	32.03	61.53	106.48
FC5	35.67	77.62	74.97
FT7	35.48	82.81	42.01
FT9	38.14	78.15	4.25
FTT9h	23.33	85.21	27.17
FTT7h	17.57	84.96	59.17
FCC5h	15.85	76.57	92.55
FCC3h	17.2	52.83	119.8
FCC1h	12.67	19.44	135.42
C1	-5.53	31.49	134.07
C3	-3.12	66.71	109.14
C5	0.92	83.36	75.08
T7	6.55	86.45	41.74
TTP7h	-16.32	83.03	53.76
CCP5h	-18.64	76.43	89.7
CCP3h	-23.4	53.08	117.08
CCP1h	-23.96	18.1	133.91
CP1	-40.82	29.36	122.6
CP3	-37.1	59.49	101
CP5	-31.97	76.08	68.85
TP7	-27.15	80.58	36.94
TPP9h	-45.72	74.47	22.46
TPP7h	-43.88	72.88	48.14
CPP5h	-49.4	62.79	80.33
CPP3h	-53.93	41.4	102.44
CPP1h	-54.44	12.59	116.99
P1	-65.59	25.99	99.98
P3	-63.39	47.37	84.2
P5	-58.58	62.94	61.2
P7	-54.5	67.27	35.76
PPO5h	-72.34	47.12	62.31
PPO1h	-76.92	12.68	90.07
POz	-84.77	-4.15	75.35
PO3	-83.33	28.29	68.12
PO7	-76.86	45.37	40.8
PPO9h	-67.66	57.97	18.1
POO9h	-85.73	40.58	25.48
O1	-92.82	26.17	43
POO1	-90.93	9.39	59.71
OI1h	-95.29	6.81	27.18
Iz	-93.09	-4.7	9.54
Cz	-2.92	-8.04	139.92
C2	-1.23	-35.91	134.99
C4	4.07	-71.33	111.16
C6	9.27	-89.3	75.09
T8	12.07	-91.43	41.24
FTT10h	29.91	-86.69	26.04
FTT8h	22.99	-90.31	59.28
FCC6h	23.51	-80.45	94.23
FCC4h	18.25	-57.66	120.42
FCC2h	15.86	-21.63	135.58
FC2	35.77	-36.15	125.99
FC4	37.64	-66.28	106.24
FC6	42.95	-83.11	74.18
FT8	42.45	-86.16	40.28
FT10	43.71	-77.68	6.89
FFT10h	53.68	-78.68	23.8
FFT8h	56.51	-81.67	58.51
FFC6h	56.25	-71.61	86.56
FFC4h	53.6	-48.49	111.96
FFC2h	52.59	-17.26	124.31
Fz	63.99	-2.88	118.79
F2	69.33	-29.41	114.61
F4	69.01	-53.84	98.81
F6	75.24	-67.96	71.17
F8	69.29	-73	42.48
F10	62.87	-72.02	8.99
AFF6h	89.18	-54.45	77.82
AFF2h	81.2	-21.38	107.26
AF4	99.5	-36.69	83.62
AF8	94.98	-55.24	51.58
FP2	108.2	-34.81	61.45
AFp2	108.99	-19.64	74.37
Oz	-93.21	-5.15	39.9
OI2h	-91.63	-16.83	28.41
POO10h	-79.58	-48.14	24.5
O2	-86.37	-35.16	40.89
POO2	-90.24	-16.28	57.24
PO4	-82.61	-36.34	63.45
PO8	-72.59	-53.94	40.99
PPO10h	-55.95	-69.41	19.23
PPO6h	-68.18	-54.56	61.55
PPO2h	-78.31	-23.39	84.99
Pz	-65.31	-2.82	107.32
P2	-63.86	-32.61	102.53
P4	-62.13	-52.76	85.92
P6	-53.47	-68.51	59.87
P8	-47.14	-73.16	31.93
TPP10h	-38.05	-81.11	23.56
TPP8h	-36.01	-79.08	48.45
CPP6h	-45.76	-69.58	79.64
CPP4h	-45.12	-51.49	109.02
CPP2h	-52.9	-21.88	118.9
CP2	-37.88	-38.59	123.61
CP4	-33.3	-67.45	102.13
CP6	-26.77	-83.22	68.1
TP8	-21.91	-85.41	34.17
TTP8h	-7.53	-89.28	50.87
CCP6h	-13.26	-82.23	88.66
CCP4h	-19.69	-59.67	118.76
CCP2h	-21.15	-24.04	134.99
N-Fp1	n/a	n/a	n/a
N-AFp1	n/a	n/a	n/a
N-AFz	n/a	n/a	n/a
N-AF3	n/a	n/a	n/a
N-AF7	n/a	n/a	n/a
N-AFF5h	n/a	n/a	n/a
N-AFF1h	n/a	n/a	n/a
N-F1	n/a	n/a	n/a
N-F3	n/a	n/a	n/a
N-F5	n/a	n/a	n/a
N-F7	n/a	n/a	n/a
N-F9	n/a	n/a	n/a
N-FFT9h	n/a	n/a	n/a
N-FFT7h	n/a	n/a	n/a
N-FFC5h	n/a	n/a	n/a
N-FFC3h	n/a	n/a	n/a
N-FFC1h	n/a	n/a	n/a
N-FCz	n/a	n/a	n/a
N-FC1	n/a	n/a	n/a
N-FC3	n/a	n/a	n/a
N-FC5	n/a	n/a	n/a
N-FT7	n/a	n/a	n/a
N-FT9	n/a	n/a	n/a
N-FTT9h	n/a	n/a	n/a
N-FTT7h	n/a	n/a	n/a
N-FCC5h	n/a	n/a	n/a
N-FCC3h	n/a	n/a	n/a
N-FCC1h	n/a	n/a	n/a
N-C1	n/a	n/a	n/a
N-C3	n/a	n/a	n/a
N-C5	n/a	n/a	n/a
N-T7	n/a	n/a	n/a
N-TTP7h	n/a	n/a	n/a
N-CCP5h	n/a	n/a	n/a
N-CCP3h	n/a	n/a	n/a
N-CCP1h	n/a	n/a	n/a
N-CP1	n/a	n/a	n/a
N-CP3	n/a	n/a	n/a
N-CP5	n/a	n/a	n/a
N-TP7	n/a	n/a	n/a
N-TPP9h	n/a	n/a	n/a
N-TPP7h	n/a	n/a	n/a
N-CPP5h	n/a	n/a	n/a
N-CPP3h	n/a	n/a	n/a
N-CPP1h	n/a	n/a	n/a
N-P1	n/a	n/a	n/a
N-P3	n/a	n/a	n/a
N-P5	n/a	n/a	n/a
N-P7	n/a	n/a	n/a
N-PPO5h	n/a	n/a	n/a
N-PPO1h	n/a	n/a	n/a
N-POz	n/a	n/a	n/a
N-PO3	n/a	n/a	n/a
