name	x	y	z
Fp1	92.25	36.06	51.51
AFp1	89.14	24.02	73.68
AFz	84.40	12.54	84.36
AF3	77.91	39.72	75.45
AF7	75.94	56.81	43.89
AFF5h	69.06	55.22	67.42
AFF1h	69.18	29.64	93.47
F1	50.03	40.76	104.00
F3	51.61	57.90	85.62
F5	58.28	65.50	61.76
F7	55.31	70.86	32.30
F9	50.56	72.70	-4.20
FFT9h	34.93	78.86	14.29
FFT7h	40.88	77.95	46.19
FFC5h	38.71	71.34	74.35
FFC3h	35.93	52.12	103.35
FFC1h	35.14	29.25	119.23
FCz	19.76	13.47	129.56
FC1	17.82	42.81	119.40
FC3	22.06	66.24	96.03
FC5	23.38	81.00	61.10
FT7	29.50	81.25	29.18
FT9	28.63	80.04	-4.09
FTT9h	17.34	82.26	10.35
FTT7h	8.35	86.81	44.32
FCC5h	4.99	81.68	76.41
FCC3h	3.14	59.91	109.87
FCC1h	3.73	31.94	127.78
C1	-17.52	43.33	124.00
C3	-12.78	72.23	96.61
C5	-6.86	85.30	58.81
T7	0.55	85.99	26.27
TTP7h	-19.57	84.46	40.93
CCP5h	-29.08	77.37	73.32
CCP3h	-34.60	61.13	102.70
CCP1h	-35.81	28.34	124.19
CP1	-52.92	37.88	110.38
CP3	-46.95	64.39	84.68
CP5	-38.09	76.81	52.74
TP7	-27.70	80.55	21.47
TPP9h	-41.87	74.58	3.02
TPP7h	-45.54	73.09	35.22
CPP5h	-55.80	65.57	61.40
CPP3h	-62.05	49.48	88.44
CPP1h	-66.22	23.67	105.77
P1	-75.04	32.13	84.62
P3	-69.44	52.42	64.20
P5	-63.32	61.51	43.03
P7	-54.94	69.21	19.20
PPO5h	-77.10	48.47	44.35
PPO1h	-83.92	22.81	73.68
POz	-90.73	0.80	57.80
PO3	-88.56	25.49	50.50
PO7	-71.52	53.52	20.79
PPO9h	-61.14	63.85	4.77
POO9h	-81.83	40.63	5.79
O1	-90.30	25.15	21.93
POO1	-90.62	18.20	41.68
OI1h	-88.05	7.96	6.87
Iz	-86.19	0.33	-10.10
Cz	-17.44	0.91	133.98
C2	-16.56	-21.84	131.26
C4	-8.93	-61.94	109.27
C6	-2.71	-82.07	73.86
T8	1.66	-87.41	43.67
FTT10h	16.51	-82.23	23.72
FTT8h	12.04	-83.31	58.19
FCC6h	9.29	-71.78	93.17
FCC4h	3.52	-46.69	118.63
FCC2h	-1.02	-11.56	133.26
FC2	19.79	-23.33	126.28
FC4	23.42	-54.42	106.17
